"TOA5","4175","CR6","4175","CR6.14.5.0 CR6-WIFI.05.03","CPU:single_polled_ARPA_1.05.CR6","28493","Sonic"
"TIMESTAMP","RECORD","u_1","v_1","w_1","Ts_1","SS_1","ChkSumF_1"
"TS","RN","m/s","m/s","m/s","C","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-03-26 03:00:00.05",21739954,-5.678,4.86,-0.425,7.2,"00",-1
"2026-03-26 03:00:00.1",21739955,-6.293,5.154,2.345,6.85,"00",-1
"2026-03-26 03:00:00.15",21739956,-3.861,5.262,3.355,7.07,"00",-1
"2026-03-26 03:00:00.2",21739957,-3.024,4.497,2.659,6.9,"00",-1
"2026-03-26 03:00:00.25",21739958,-5.053,1.884,2.373,6.98,"00",-1
"2026-03-26 03:00:00.3",21739959,-4.462,4.726,1.9,7.18,"00",-1
"2026-03-26 03:00:00.35",21739960,-4.103,4.732,2.944,7.13,"00",-1
"2026-03-26 03:00:00.4",21739961,-2.72,6.167,3.141,6.92,"00",-1
"2026-03-26 03:00:00.45",21739962,-2.261,5.542,3.291,6.95,"00",-1
"2026-03-26 03:00:00.5",21739963,-1.49,5.584,2.659,6.78,"00",-1
"2026-03-26 03:00:00.55",21739964,-1.976,5.513,3.896,7.03,"00",-1
"2026-03-26 03:00:00.6",21739965,-0.72,5.644,4.116,6.8,"00",-1
"2026-03-26 03:00:00.65",21739966,0.048,6.254,2.733,6.78,"00",-1
"2026-03-26 03:00:00.7",21739967,-0.638,5.736,2.406,7.13,"00",-1
"2026-03-26 03:00:00.75",21739968,0.272,6.47,2.74,6.9,"00",-1
"2026-03-26 03:00:00.8",21739969,-0.657,5.972,1.446,6.8,"00",-1
"2026-03-26 03:00:00.85",21739970,-1.019,6.227,1.151,6.85,"00",-1
"2026-03-26 03:00:00.9",21739971,-1.467,6.177,1.852,7.25,"00",-1
"2026-03-26 03:00:00.95",21739972,-2.533,7.297,0.109,6.95,"00",-1
"2026-03-26 03:00:01",21739973,-3.698,7.159,0.93,7.28,"00",-1
"2026-03-26 03:00:01.05",21739974,-1.587,6.538,1.059,7,"00",-1
"2026-03-26 03:00:01.1",21739975,-1.805,6.157,0.881,7.33,"00",-1
"2026-03-26 03:00:01.15",21739976,-1.848,6.212,0.146,7.17,"00",-1
"2026-03-26 03:00:01.2",21739977,-2.773,8.148,1.205,7.2,"00",-1
"2026-03-26 03:00:01.25",21739978,-1.567,7.361,0.762,7.38,"00",-1
"2026-03-26 03:00:01.3",21739979,-0.922,5.539,3.023,7.18,"00",-1
"2026-03-26 03:00:01.35",21739980,-0.423,5.979,2.403,7.23,"00",-1
"2026-03-26 03:00:01.4",21739981,-0.242,5.904,2.958,7.27,"00",-1
"2026-03-26 03:00:01.45",21739982,-0.669,5.787,3.414,6.82,"00",-1
"2026-03-26 03:00:01.5",21739983,-1.628,5.309,3.623,7.05,"00",-1
"2026-03-26 03:00:01.55",21739984,-1.267,5.333,2.56,7.05,"00",-1
"2026-03-26 03:00:01.6",21739985,-0.349,4.813,3.001,7.13,"00",-1
"2026-03-26 03:00:01.65",21739986,-0.627,5.011,2.711,7.02,"00",-1
"2026-03-26 03:00:01.7",21739987,-2.189,3.713,1.277,7.17,"00",-1
"2026-03-26 03:00:01.75",21739988,-2.779,5.528,3.565,6.98,"00",-1
"2026-03-26 03:00:01.8",21739989,-1.405,5.846,3.7,7.18,"00",-1
"2026-03-26 03:00:01.85",21739990,-0.404,6.296,0.666,6.83,"00",-1
"2026-03-26 03:00:01.9",21739991,-2.09,4.939,0.453,7.02,"00",-1
"2026-03-26 03:00:01.95",21739992,-1.984,4.87,2.224,6.97,"00",-1
"2026-03-26 03:00:02",21739993,-0.656,4.373,1.793,6.93,"00",-1
"2026-03-26 03:00:02.05",21739994,-0.892,4.758,3.101,6.8,"00",-1
"2026-03-26 03:00:02.1",21739995,-1.864,4.464,2.413,6.82,"00",-1
"2026-03-26 03:00:02.15",21739996,-2.19,5.764,1.756,6.88,"00",-1
"2026-03-26 03:00:02.2",21739997,-2.577,5.802,5.617,7.18,"00",-1
"2026-03-26 03:00:02.25",21739998,-4.147,7.341,4.466,7.13,"00",-1
"2026-03-26 03:00:02.3",21739999,-4.358,6.761,5.162,7.35,"00",-1
"2026-03-26 03:00:02.35",21740000,-3.01,7.356,4.845,7.13,"00",-1
"2026-03-26 03:00:02.4",21740001,-3.212,6.489,5.387,7.03,"00",-1
"2026-03-26 03:00:02.45",21740002,-3.374,7.727,3.327,7.08,"00",-1
"2026-03-26 03:00:02.5",21740003,-3.432,7.37,3.105,6.83,"00",-1
"2026-03-26 03:00:02.55",21740004,-3.057,7.426,2.182,7.3,"00",-1
"2026-03-26 03:00:02.6",21740005,-3.66,7.801,2.79,6.97,"00",-1
"2026-03-26 03:00:02.65",21740006,-3.588,7.502,2.124,7.42,"00",-1
"2026-03-26 03:00:02.7",21740007,-3.915,7.049,1.98,7.07,"00",-1
"2026-03-26 03:00:02.75",21740008,-4.732,7.52,1.575,7.13,"00",-1
"2026-03-26 03:00:02.8",21740009,-2.569,6.461,4.501,7.03,"00",-1
"2026-03-26 03:00:02.85",21740010,-2.142,7.403,6.286,7.35,"00",-1
"2026-03-26 03:00:02.9",21740011,-1.97,8.989,4.731,7.07,"00",-1
"2026-03-26 03:00:02.95",21740012,-1.708,9.406,5.081,7.23,"00",-1
"2026-03-26 03:00:03",21740013,-1.325,8.796,4.493,7.1,"00",-1
"2026-03-26 03:00:03.05",21740014,-0.966,9.946,4.468,7.28,"00",-1
"2026-03-26 03:00:03.1",21740015,-1.094,9.771,3.854,7.22,"00",-1
"2026-03-26 03:00:03.15",21740016,-3.193,9.125,4.455,7.22,"00",-1
"2026-03-26 03:00:03.2",21740017,-2.279,9.619,4.276,7.1,"00",-1
"2026-03-26 03:00:03.25",21740018,-3.982,9.045,0.007,7.5,"0B",-1
"2026-03-26 03:00:03.3",21740019,-6.205,11.117,0.809,7.4,"00",-1
"2026-03-26 03:00:03.35",21740020,-4.795,10.954,0.455,7.58,"00",-1
"2026-03-26 03:00:03.4",21740021,-5.649,11.038,-0.273,7.47,"00",-1
"2026-03-26 03:00:03.45",21740022,-5.571,11.034,-0.835,7.43,"00",-1
"2026-03-26 03:00:03.5",21740023,-5.149,10.84,-1.264,7.42,"00",-1
"2026-03-26 03:00:03.55",21740024,-5.037,11.28,-0.579,7.67,"00",-1
"2026-03-26 03:00:03.6",21740025,-5.321,11.585,0.037,7.6,"00",-1
"2026-03-26 03:00:03.65",21740026,-5.147,11.297,0.686,7.57,"00",-1
"2026-03-26 03:00:03.7",21740027,-5.649,11.746,0.804,7.6,"00",-1
"2026-03-26 03:00:03.75",21740028,-4.677,11.873,0.709,7.65,"00",-1
"2026-03-26 03:00:03.8",21740029,-6.434,12.138,-1.063,7.82,"00",-1
"2026-03-26 03:00:03.85",21740030,-5.907,10.335,-1.348,7.58,"00",-1
"2026-03-26 03:00:03.9",21740031,-6.376,9.963,-2.082,7.63,"00",-1
"2026-03-26 03:00:03.95",21740032,-6.593,11.358,-0.309,7.65,"00",-1
"2026-03-26 03:00:04",21740033,-7.977,11.416,-0.404,7.53,"00",-1
"2026-03-26 03:00:04.05",21740034,-8.75,10.71,-0.481,7.68,"00",-1
"2026-03-26 03:00:04.1",21740035,-7.229,11.175,-1.689,7.85,"00",-1
"2026-03-26 03:00:04.15",21740036,-7.168,10.739,-1.531,7.53,"00",-1
"2026-03-26 03:00:04.2",21740037,-6.49,10.247,-1.099,7.57,"00",-1
"2026-03-26 03:00:04.25",21740038,-7.997,9.329,-1.191,7.47,"00",-1
"2026-03-26 03:00:04.3",21740039,-8.216,9.356,1.463,7.77,"00",-1
"2026-03-26 03:00:04.35",21740040,-6.765,9.263,-1.342,7.37,"00",-1
"2026-03-26 03:00:04.4",21740041,-7.908,10.109,-1.413,7.78,"00",-1
"2026-03-26 03:00:04.45",21740042,-8.185,10.821,-1.43,7.53,"00",-1
"2026-03-26 03:00:04.5",21740043,-8.008,8.578,-0.586,7.67,"00",-1
"2026-03-26 03:00:04.55",21740044,-7.901,8.896,-0.497,7.38,"00",-1
"2026-03-26 03:00:04.6",21740045,-7.254,7.513,-0.182,7.7,"00",-1
"2026-03-26 03:00:04.65",21740046,-7.279,6.714,0.286,7.17,"00",-1
"2026-03-26 03:00:04.7",21740047,-6.228,6.896,0.167,7.6,"00",-1
"2026-03-26 03:00:04.75",21740048,-6.493,6.152,0.268,7.17,"00",-1
"2026-03-26 03:00:04.8",21740049,-6.22,5.744,-0.382,7.53,"00",-1
"2026-03-26 03:00:04.85",21740050,-6.348,6.422,0.575,7.28,"00",-1
"2026-03-26 03:00:04.9",21740051,-8.319,6.353,2.132,7.93,"00",-1
"2026-03-26 03:00:04.95",21740052,-7.625,7.176,0.671,7.18,"00",-1
"2026-03-26 03:00:05",21740053,-7.516,7.189,0.659,7.47,"00",-1
"2026-03-26 03:00:05.05",21740054,-6.465,8.934,1.672,7.27,"00",-1
"2026-03-26 03:00:05.1",21740055,-8.019,11.084,0.309,7.5,"00",-1
"2026-03-26 03:00:05.15",21740056,-8.706,10.103,1.958,7.58,"00",-1
"2026-03-26 03:00:05.2",21740057,-6.888,9.414,0.503,7.75,"00",-1
"2026-03-26 03:00:05.25",21740058,-4.918,11.339,-0.364,7.45,"00",-1
"2026-03-26 03:00:05.3",21740059,-6.289,12.211,-1.348,7.62,"00",-1
"2026-03-26 03:00:05.35",21740060,-6.646,11.405,-2.062,7.78,"00",-1
"2026-03-26 03:00:05.4",21740061,-7.635,11.008,-1.351,7.73,"00",-1
"2026-03-26 03:00:05.45",21740062,-9.002,10.887,-1.301,7.7,"00",-1
"2026-03-26 03:00:05.5",21740063,-7.872,9.97,-2.753,7.83,"00",-1
"2026-03-26 03:00:05.55",21740064,-8.58,10.302,-3.256,7.48,"00",-1
"2026-03-26 03:00:05.6",21740065,-6.745,9.417,-1.308,7.57,"00",-1
"2026-03-26 03:00:05.65",21740066,-7.287,10.186,-1.135,7.53,"00",-1
"2026-03-26 03:00:05.7",21740067,-7.625,8.778,-1.018,7.67,"00",-1
"2026-03-26 03:00:05.75",21740068,-6.272,8.437,-1.085,7.23,"00",-1
